user_id,anonymous_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,marketing_consent_email,marketing_consent_sms,marketing_consent_line_oa,marketing_consent_web_mobile_push,data_processing_consent,signup_source,customer_tier
CUST-A000011,7e1f2048-7cba-4992-8ec3-74099da6816f,Teetat,Sukhenai,2007-03-14T00:00:00+07:00,Female,teetat.sukhenai@gmailx.com,+6617059573,396/6 ถนนถมังรักษสัตว์ ตำบลเปือยใหญ่ อำเภอเรณูนคร ศรีสะเกษ 74020,Thailand,2023-11-03T00:00:00+07:00,False,True,True,True,False,Web,Bronze
CUST-A000012,9d48a8cc-ef6c-4827-a19e-b8850fc86052,Pattapon,Titipatrayunyong,1947-07-16T00:00:00+07:00,Male,pattapon.titipatrayunyong@gmailx.com,+6612367020,36/47 ถนนดุษฎีวนิช ต.บ้านหัวนาคำ อ.นาหว้า บุรีรัมย์,Thailand,2024-02-13T00:00:00+07:00,True,True,False,True,False,iOS,Bronze
CUST-A000013,aa1e38e8-ca3d-4b63-b9e0-8b936de5a6cc,Yada,Siripaiboo,2012-03-05T00:00:00+07:00,Male,yada.siripaiboo@hotmailx.com,+6618319696,4 ถ.เมืองสุข ต.บางกุ้งเหนือ อ.บึงกุ่ม อุบลราชธานี 10070,Thailand,2023-08-14T00:00:00+07:00,False,False,False,False,False,Web,Bronze
CUST-A000014,14f4aac2-9c0c-41db-a752-3df75fb1f7fc,Sarunporn,Prachayaroch,1972-09-26T00:00:00+07:00,Female,sarunporn.prachayaroch@hotmailx.com,+6611031803,29 ถนนทองปากน้ำ อ.พระนคร จ.กรุงเทพฯ 98110,Thailand,2024-02-24T00:00:00+07:00,False,False,False,True,True,iOS,Bronze
CUST-A000015,f5588116-d873-418c-81f7-ec3f3b6d849b,Pattapon,Chaisatit,1925-12-22T00:00:00+07:00,Female,pattapon.chaisatit@gmailx.com,+6614995707,651/4 ถนนปรีชากุลเศรษฐ์ อ.หนองบัวโคก นครราชสีมา 77540,Thailand,2023-09-08T00:00:00+07:00,False,True,False,True,False,Web,Bronze
CUST-A000016,e448c66b-4638-4558-9fb0-1eb9b6ad8314,Kodchaporn,Srisoontorn,1913-10-10T00:00:00+06:42,Female,kodchaporn.srisoontorn@gmailx.com,+6614760210,27 หมู่ 77 ถนนดีตพันธุ์ แม่ลาว จ.กรุงเทพ 56140,Thailand,2023-09-08T00:00:00+07:00,True,False,True,True,False,iOS,Bronze
CUST-A000017,9c48cac2-2997-4530-a138-7d691d11d171,Pachongruk,Prachayaroch,1944-02-12T00:00:00+07:00,Male,pachongruk.prachayaroch@gmailx.com,+6611542887,7 ถนนหอมสิน ตำบลห้วยยอดใต้ อำเภอแม่สรวย ยะลา 60270,Thailand,2024-06-16T00:00:00+07:00,True,False,False,False,True,Android,Bronze
CUST-A000018,31fad11d-2a29-42dc-a011-e4cdbda96332,Jaruwan,Turongkinanon,1957-10-08T00:00:00+07:00,Male,jaruwan.turongkinanon@hotmailx.com,+6618147736,96/65 ถ.ธนูปกรณ์ ตำบลหนองแสง อำเภอบ่อไร่ ลำพูน 33570,Thailand,2023-08-11T00:00:00+07:00,True,True,True,True,False,Web,Bronze
CUST-A000019,c84a4297-965c-4fee-93c8-1265e30ff6d8,Yanisa,Bunlerngsri,1917-08-05T00:00:00+06:42,Male,yanisa.bunlerngsri@gmailx.com,+6619332908,6/8 ถนนตระกูลบุญ บางสะพานน้อย หนองคาย 70810,Thailand,2023-10-22T00:00:00+07:00,False,False,True,True,False,Android,Bronze
CUST-A000020,827f93b2-6181-4a34-87d9-c1adff91a49a,Tunchanok,Prachayaroch,1945-08-17T00:00:00+07:00,Other,tunchanok.prachayaroch@gmailx.com,+6614737390,93 หมู่ 8 ถนนนฤทุกข์ ตำบลหนองอิเฒ่า อำเภอพระนคร กำแพงเพชร 18760,Thailand,2024-01-26T00:00:00+07:00,False,False,False,False,True,iOS,Bronze
CUST-A000021,1837b175-2b6e-4b46-85a0-a8fb3b5ca036,Niracha,Boonpungbaramee,1998-07-26T00:00:00+07:00,Other,niracha.boonpungbaramee@hotmailx.com,+6618420513,17 ถนนศรีวงค์ สุขเดือนห้าเหนือ คลองใหญ่ กาญจนบุรี 72740,Thailand,2024-02-06T00:00:00+07:00,True,False,False,False,False,Android,Bronze
CUST-A000022,c15090d5-2393-4752-98f6-c04362c54b79,Prima,Prakalpawong,1947-06-24T00:00:00+07:00,Male,prima.prakalpawong@gmailx.com,+6615214113,51 ถนนทรงโกมล ต.พระรักษ์ อ.แม่ลาว จ.กรุงเทพมหานคร 97660,Thailand,2024-02-18T00:00:00+07:00,False,False,True,True,True,Android,Bronze
CUST-A000023,6d33d008-df3d-4f8f-bbf8-a95564385255,Pak,Sujjaboriboon,1925-05-21T00:00:00+07:00,Male,pak.sujjaboriboon@hotmailx.com,+6612853202,290 ถ.พีระเพ็ญกุล อ.หนอกจอก ร้อยเอ็ด 47340,Thailand,2023-09-27T00:00:00+07:00,True,True,True,True,False,Web,Bronze
CUST-A000024,54f475b3-2a55-477f-9f52-aaf0002a79fe,Parin,Polpo,1953-02-08T00:00:00+07:00,Male,parin.polpo@gmailx.com,+6615442572,19 หมู่ 2 หมู่บ้านรวิวาน คลองใหญ่ แม่ฮ่องสอน 58380,Thailand,2023-08-23T00:00:00+07:00,True,False,True,True,False,Web,Bronze
CUST-A000025,a078ddbd-b9ed-4259-95fc-5c15a2901e00,Niracha,Norramon,2019-07-24T00:00:00+07:00,Female,niracha.norramon@gmailx.com,+6612523641,5/0 ถนนเขียวขุ้ย ต.บึงเกาะโพธิ์ใต้ อ.นาหว้า จันทบุรี 37850,Thailand,2023-08-09T00:00:00+07:00,True,False,True,False,True,Android,Bronze
CUST-A000026,0e0be984-4875-4dc9-83fe-7ce7975930eb,Wassaya,Pikatsingkorn,1949-06-15T00:00:00+07:00,Male,wassaya.pikatsingkorn@gmailx.com,+6612013019,18/3 ถนนมิ่งขวัญ ต.ท่างิ้ว อ.ศรีสงคราม จ.พังงา,Thailand,2024-06-28T00:00:00+07:00,False,False,False,False,False,iOS,Bronze
CUST-A000027,eecbd36e-8760-42ff-91df-b791361ca999,Arisara,Kongsri,1968-03-05T00:00:00+07:00,Other,arisara.kongsri@gmailx.com,+6613760096,482/52 ถนนอุลหัสสา อ.เนินสง่า ปทุมธานี 67140,Thailand,2024-05-07T00:00:00+07:00,False,False,False,True,False,Android,Bronze
CUST-A000028,31b045a3-b894-4763-9497-3f6fcaf044ee,Jinjuta,Lertsattayanusak,1924-12-04T00:00:00+07:00,Female,jinjuta.lertsattayanusak@hotmailx.com,+6615613301,210/93 หมู่บ้านวีระวัฒน์ เรณูนคร ร้อยเอ็ด 47830,Thailand,2023-12-01T00:00:00+07:00,False,False,False,False,False,Web,Bronze
CUST-A000029,f4675898-20ad-46a5-b3d7-f333f03a46e8,Pada,Wimolnot,2023-12-16T00:00:00+07:00,Male,pada.wimolnot@gmailx.com,+6611251100,25 หมู่ 2 ถ.ทัศนสุทธิ ตำบลหนองอิเฒ่ากลาง อำเภอคอนสาร อุบลราชธานี 68260,Thailand,2023-12-08T00:00:00+07:00,True,True,False,False,True,iOS,Bronze
CUST-A000030,32c78753-4274-4e7c-aa8a-a67aff523132,Kamolchanok,Pianduangsri,1981-08-16T00:00:00+07:00,Female,kamolchanok.pianduangsri@hotmailx.com,+6613711425,11/01 ถ.ทองสีไพล โนนสูง วังยาง ปราจีนบุรี 23040,Thailand,2024-04-30T00:00:00+07:00,False,True,False,False,False,Web,Bronze
CUST-A000031,59e7c945-2e85-485d-8f31-87b0e1b1c0d7,Pachongruk,Todsapornpitakul,1952-01-11T00:00:00+07:00,Female,pachongruk.todsapornpitakul@hotmailx.com,+6617513166,738 ถนนนพคเชนทร์ ต.ห้วยสุขเดือนห้า อ.คอนสาร จ.น่าน 19440,Thailand,2023-11-27T00:00:00+07:00,True,True,True,False,True,iOS,Bronze
CUST-A000032,5e1d432f-456f-4517-90fa-712706055d47,Nutwadee,Krittayanukoon,1912-07-29T00:00:00+06:42,Other,nutwadee.krittayanukoon@gmailx.com,+6614905557,7 ถนนบุนยะตีรณะ ต.หนองอิเฒ่า อ.นาทม จ.อ่างทอง,Thailand,2024-03-22T00:00:00+07:00,False,False,False,False,True,Web,Bronze
CUST-A000033,17ec25c7-708b-4150-8156-5d1b90930d89,Phubes,Permchart,2009-01-31T00:00:00+07:00,Female,phubes.permchart@gmailx.com,+6612079428,268/42 ถนนพานเกล้า ภักดีชุมพล จ.พิจิตร 63940,Thailand,2024-05-05T00:00:00+07:00,False,False,True,True,False,iOS,Bronze
CUST-A000034,1d99c932-f00a-4d09-b99a-6b044978bacb,Patchaploy,Polauaypon,1986-08-07T00:00:00+07:00,Other,patchaploy.polauaypon@hotmailx.com,+6612141526,371 ถนนเธียรายัน อำเภอพระนคร จังหวัดกาญจนบุรี 61840,Thailand,2024-02-11T00:00:00+07:00,False,False,False,True,True,iOS,Bronze
CUST-A000035,c70033d0-fd4e-4596-881b-bb07fcce0935,Chayapat,Suraprasert,1989-12-27T00:00:00+07:00,Female,chayapat.suraprasert@hotmailx.com,+6615482350,23/23 ถ.ไสยกิจ ต.นาหินลาด อ.เทิง ร้อยเอ็ด,Thailand,2023-11-15T00:00:00+07:00,True,True,False,True,True,Web,Bronze
CUST-A000036,baa249f0-a6e3-4b39-8bc5-6190653a6f71,Pattatomporn,Kamalanon,1984-03-28T00:00:00+07:00,Other,pattatomporn.kamalanon@hotmailx.com,+6612260178,1/8 ถ.ถมังรักษสัตว์ พะโต๊ะ ปัตตานี 76070,Thailand,2024-01-10T00:00:00+07:00,False,False,True,True,False,Web,Bronze
CUST-A000037,257030b5-045d-40c0-bd16-8659dd072450,Sitiwat,Pasuk,2015-04-22T00:00:00+07:00,Male,sitiwat.pasuk@hotmailx.com,+6612534687,3 ถ.ทองลาภ ตำบลเขาขาว จังหวัดภูเก็ต 82710,Thailand,2023-09-27T00:00:00+07:00,False,False,False,False,False,Android,Bronze
CUST-A000038,52ee6542-3b43-4c84-803f-606d59eba694,Jitrin,Habpanom,1909-10-17T00:00:00+06:42,Other,jitrin.habpanom@gmailx.com,+6613055969,44 ถนนหิรัญสาลี อ.หนอกจอก จ.ชลบุรี 50620,Thailand,2024-04-13T00:00:00+07:00,True,True,True,True,True,Android,Bronze
CUST-A000039,dd86790d-9b3b-414b-8e8a-fdea3c0db42c,Phenphitcha,Thantananont,1979-10-28T00:00:00+07:00,Female,phenphitcha.thantananont@gmailx.com,+6618336698,36 หมู่ 53 ถ.ชำนาญวาด ต.นาวง อ.หนองบัวโคก จ.ร้อยเอ็ด 51010,Thailand,2024-07-01T00:00:00+07:00,True,True,True,False,False,iOS,Bronze
CUST-A000040,ff071bea-f9eb-4fad-bca0-86a7e2bf7b6a,Noppakao,Wasunun,2015-09-12T00:00:00+07:00,Female,noppakao.wasunun@hotmailx.com,+6615022917,66 ถนนบุญบำรุง นาหว้า กาฬสินธุ์ 81180,Thailand,2024-07-11T00:00:00+07:00,True,True,False,True,False,iOS,Bronze
CUST-A000041,1a724616-41df-4daa-9b99-a020d146592f,Wassaya,Wimolnot,1964-02-21T00:00:00+07:00,Male,wassaya.wimolnot@gmailx.com,+6619478408,71/66 ถนนถนัดการเขียน ต.เนินขามใต้ อ.ซับใหญ่ จ.นครพนม 54060,Thailand,2024-03-25T00:00:00+07:00,True,False,True,True,True,iOS,Bronze
CUST-A000042,3ce253fa-aaa8-40e3-8ce3-f15cb21411f7,Sorawut,Pongpanitch,1964-02-10T00:00:00+07:00,Female,sorawut.pongpanitch@hotmailx.com,+6619662584,05/83 ถนนดาวอร่าม อ.ภูเขียว จ.อุบลราชธานี 14440,Thailand,2024-05-19T00:00:00+07:00,True,False,False,True,False,Web,Bronze
CUST-A000043,003d4ce1-6286-4768-be0d-a987502c8300,Pak,Pothanun,1979-10-21T00:00:00+07:00,Other,pak.pothanun@gmailx.com,+6619683994,03 หมู่ 02 ถ.นุตตาร ต.บึงหนองอิเฒ่า อ.หนองบัวระเหว จ.นครราชสีมา,Thailand,2023-08-24T00:00:00+07:00,True,False,True,False,True,iOS,Bronze
CUST-A000044,caf56fc3-b37a-41dc-b3df-2905208f9710,Aunyaporn,Intaum,1913-01-22T00:00:00+06:42,Female,aunyaporn.intaum@gmailx.com,+6617807158,31/63 ถนนธีวร หนองช้างแล่นเล็ก สมุทรสาคร 46380,Thailand,2024-04-09T00:00:00+07:00,True,False,True,True,False,Web,Bronze
CUST-A000045,90bc0d1f-38bf-4615-b41a-9073f938c6b3,Sarunporn,Sujjaboriboon,1971-01-24T00:00:00+07:00,Male,sarunporn.sujjaboriboon@gmailx.com,+6613162084,92 ถนนงามพิเชษฐ์ อ.ปากคาด จ.อุตรดิตถ์ 33550,Thailand,2024-04-02T00:00:00+07:00,False,True,False,True,False,iOS,Bronze
CUST-A000046,a40034fd-65b8-478f-b46b-94b8c2823cc1,Pak,Kumsoontorn,1942-08-17T00:00:00+07:00,Female,pak.kumsoontorn@gmailx.com,+6616809923,03/1 ถนนดาบเงิน ต.นาดี อ.เทิง อุตรดิตถ์ 60210,Thailand,2024-01-21T00:00:00+07:00,True,False,True,True,True,iOS,Bronze
CUST-A000047,0888ba12-db92-4cd4-964a-35bf87caa8ce,Nutwadee,Boonpungbaramee,1928-08-30T00:00:00+07:00,Male,nutwadee.boonpungbaramee@gmailx.com,+6617914847,69/08 ถนนนิยมสำหรวจ ทุ่งต่อ นาแก อ่างทอง 49710,Thailand,2023-07-20T00:00:00+07:00,True,False,False,True,True,Android,Bronze
CUST-A000048,b6339c3a-4c89-462c-9672-2134a6ba89cf,Nattawun,Titipatrayunyong,1972-09-03T00:00:00+07:00,Female,nattawun.titipatrayunyong@gmailx.com,+6614850525,50 หมู่ 80 ถ.ขำเอนก ภาษีเจริญ พิจิตร 23750,Thailand,2023-12-26T00:00:00+07:00,True,False,True,False,True,Web,Bronze
CUST-A000049,969ed005-dadb-408f-bfe4-7cf74b375c31,Chayanin,Polpo,2013-03-15T00:00:00+07:00,Female,chayanin.polpo@hotmailx.com,+6616106300,47 หมู่ 4 ถ.พรสีมา ต.นาเชือกเล็ก อ.ซับใหญ่ สมุทรสงคราม 30390,Thailand,2024-01-26T00:00:00+07:00,True,True,False,True,True,iOS,Bronze
CUST-A000050,8eaf97c6-1bc0-4ab2-8175-6dc63f683ee5,Chalisa,Kongsri,1976-01-11T00:00:00+07:00,Female,chalisa.kongsri@gmailx.com,+6612499717,35 หมู่ 85 ถนนนำธวัช ต.เปือยใหญ่ อ.เวียงป่าเป้า จ.พระนครศรีอยุธยา 48880,Thailand,2024-05-27T00:00:00+07:00,True,True,False,False,False,Web,Bronze
CUST-A000051,5268c767-914f-4fe8-82df-e7052e66d737,Kamolchanok,Kongsri,2012-05-26T00:00:00+07:00,Male,kamolchanok.kongsri@hotmailx.com,+6618828876,466 ถนนนาคสุทิน ต.พระรักษ์ อ.เฉลิมพระเกียรติ ยโสธร 21570,Thailand,2023-09-12T00:00:00+07:00,False,True,True,False,False,iOS,Bronze
CUST-A000052,6ed35102-30bd-446e-b354-be00540fc00a,Ratchanon,Chomsri,1975-03-18T00:00:00+07:00,Other,ratchanon.chomsri@hotmailx.com,+6619322280,80/37 ถนนเณรานุสนธิ์ หนองปลาหมอใหญ่ น่าน 19950,Thailand,2024-04-04T00:00:00+07:00,False,False,False,False,True,iOS,Bronze
CUST-A000053,613cd48e-b72b-490a-9c05-442663c6da46,Atit,Bunlerngsri,1978-02-16T00:00:00+07:00,Female,atit.bunlerngsri@hotmailx.com,+6616832523,11/6 ถ.ชำนาญวาด อำเภอเทิง อุบลราชธานี 45370,Thailand,2024-02-14T00:00:00+07:00,True,False,False,True,False,Android,Bronze
CUST-A000054,d98560f0-00a1-4f2d-9329-270ab50383f6,Apisara,Bunlupong,1933-01-14T00:00:00+07:00,Female,apisara.bunlupong@hotmailx.com,+6619309368,923/2 ถ.ทองแท้ ต.วัดเกาะโพธิ์ อ.ซับใหญ่ จ.พิจิตร 54460,Thailand,2023-08-18T00:00:00+07:00,True,False,True,False,True,Android,Bronze
CUST-A000055,d6f1538d-d305-4631-b973-df1f724e9ded,Nutcha,Pichpandecha,1956-10-27T00:00:00+07:00,Male,nutcha.pichpandecha@hotmailx.com,+6618586069,5/3 ถ.ไทยแท้ ต.นาหินลาด อ.บ้านเขว้า ยะลา,Thailand,2024-05-23T00:00:00+07:00,True,True,False,False,False,Android,Bronze
CUST-A000056,d8480ec7-8a83-4329-9c9b-4b8abe11ca73,Chaiwut,Titipatrayunyong,1990-02-22T00:00:00+07:00,Other,chaiwut.titipatrayunyong@gmailx.com,+6611621145,782 ถนนฉัพพรรณธนกูร นาเชือกใหญ่ เนินสง่า ตรัง 20010,Thailand,2024-05-21T00:00:00+07:00,False,True,True,False,False,iOS,Bronze
CUST-A000057,9dbe2f9e-57f3-4c3b-a056-9c66d5c3ddb2,Kamolchanok,Boonpungbaramee,1951-10-05T00:00:00+07:00,Other,kamolchanok.boonpungbaramee@hotmailx.com,+6614264695,017/88 ซ.เวียงจันทึก ป่าหนองอิเฒ่าเล็ก อุบลราชธานี 83520,Thailand,2024-04-09T00:00:00+07:00,True,True,False,True,True,Android,Bronze
CUST-A000058,79626865-bf7f-4d24-9709-3b253a87095e,Pak,Permchart,1981-01-14T00:00:00+07:00,Female,pak.permchart@hotmailx.com,+6618062887,374/0 ถนนขำเอนก ต.ห้วยหัวนาคำ อ.เทิง จ.พะเยา 28290,Thailand,2024-03-06T00:00:00+07:00,False,False,False,False,False,Android,Bronze
CUST-A000059,20d30f69-7e16-4603-a79d-72c3730e306e,Jaruwan,Prayoonhong,2005-12-02T00:00:00+07:00,Male,jaruwan.prayoonhong@gmailx.com,+6614893497,91/28 ถ.ขุนดำ บางกุ้ง เวียงป่าเป้า เพชรบูรณ์ 19050,Thailand,2024-04-16T00:00:00+07:00,True,True,True,False,True,Android,Bronze
CUST-A000060,fb2d239c-ef29-4a14-b85b-d2596f4eb937,Supasit,Vethayasas,1922-12-10T00:00:00+07:00,Male,supasit.vethayasas@hotmailx.com,+6615715426,9 ถ.หอมพิกุล ตรัง 46710,Thailand,2023-11-12T00:00:00+07:00,True,False,False,False,True,Web,Bronze
CUST-A000061,b1651761-a76b-4702-82fd-5cd91f740a41,Sorawut,Bunlupong,1953-05-12T00:00:00+07:00,Other,sorawut.bunlupong@gmailx.com,+6614233867,38/50 ถ.ร่มธิติรัตน์ เนินสง่า จ.สิงห์บุรี 33150,Thailand,2023-10-08T00:00:00+07:00,False,False,False,False,True,Android,Bronze
CUST-A000062,57c797dd-a156-4f06-9357-34aad3ae0d46,Pawan,Prakalpawong,1940-07-17T00:00:00+07:00,Male,pawan.prakalpawong@hotmailx.com,+6613948985,20/85 ถ.ตั้งกุลงาม ตำบลเขาขาว จังหวัดตรัง 80900,Thailand,2024-01-01T00:00:00+07:00,False,False,True,True,False,iOS,Bronze
CUST-A000063,4500045d-366a-49f9-8bf4-6be8d4665606,Yada,Todsapornpitakul,1951-06-20T00:00:00+07:00,Other,yada.todsapornpitakul@hotmailx.com,+6618972074,773 ถนนถนัดการยนต์ ต.ปากพลี อ.บำเหน็จณรงค์ สกลนคร 83140,Thailand,2023-09-16T00:00:00+07:00,False,False,False,False,True,Android,Bronze
CUST-A000064,3e44566e-83d8-42ff-a2da-bd03243395f1,Thanatcha,Polauaypon,1996-11-25T00:00:00+07:00,Other,thanatcha.polauaypon@hotmailx.com,+6616972819,841 ถ.เวียงจันทึก ต.บางปะกอก อ.หนองบัวแดง นครนายก 26420,Thailand,2023-07-22T00:00:00+07:00,True,False,True,True,True,Web,Bronze
CUST-A000065,0ce5f13e-56d0-42e7-94c7-f3bebfc0f798,Patchaploy,Youprasert,2019-07-29T00:00:00+07:00,Other,patchaploy.youprasert@hotmailx.com,+6613650211,1 ถนนนุ่มกัน ตำบลเกาะหวาย อำเภอซับใหญ่ จังหวัดกรุงเทพฯ 72120,Thailand,2023-08-04T00:00:00+07:00,False,False,True,True,False,iOS,Bronze
CUST-A000066,618e2925-4f11-4cf0-93c4-b557ca11c04b,Peem,Wasunun,1932-09-22T00:00:00+07:00,Female,peem.wasunun@gmailx.com,+6611106688,59 หมู่ 1 ถนนนพคเชนทร์ ป่าบางเล่า เนินสง่า อุบลราชธานี 62330,Thailand,2023-10-26T00:00:00+07:00,True,True,False,False,True,Android,Bronze
CUST-A000067,b0518646-88ff-4cd1-8c46-7007ea39466e,Pannawich,Kamalanon,2003-08-28T00:00:00+07:00,Other,pannawich.kamalanon@hotmailx.com,+6612306140,3/5 ถ.บุณยะภาชน์ ตำบลอิตื้อ อำเภอวังยาง สมุทรสาคร 96820,Thailand,2024-07-04T00:00:00+07:00,False,False,True,False,False,iOS,Bronze
CUST-A000068,1c1018ca-00d0-410b-8e36-b513e429bf47,Puntira,Posalee,2008-10-30T00:00:00+07:00,Other,puntira.posalee@gmailx.com,+6612009233,60/7 ถนนเนื้อนุ่ม ต.นาวง อ.บำเหน็จณรงค์ อุตรดิตถ์ 67270,Thailand,2024-02-04T00:00:00+07:00,True,True,True,True,False,Android,Bronze
CUST-A000069,ba1df2d9-cb5f-4498-9923-aa751dd75285,Nichakarn,Kitprapa,1910-03-29T00:00:00+06:42,Other,nichakarn.kitprapa@gmailx.com,+6614649672,2 ซอยเขียวขุ้ย ต.อิตื้อ อ.ปลาปาก สมุทรปราการ 70500,Thailand,2024-07-08T00:00:00+07:00,False,True,True,True,False,iOS,Bronze
CUST-A000070,72848be2-c8aa-4c7a-96a7-86fd071b05e9,Pawan,Thantananont,1967-01-03T00:00:00+07:00,Other,pawan.thantananont@hotmailx.com,+6617731350,36/7 ถนนหนักแน่น อำเภอหนองบัวระเหว นราธิวาส 23560,Thailand,2023-10-10T00:00:00+07:00,False,False,True,True,False,Android,Bronze
CUST-A000071,81191cca-695c-42ed-9b74-d28782552000,Atit,Tianvarich,1958-03-23T00:00:00+07:00,Female,atit.tianvarich@gmailx.com,+6619273791,28 ถ.นิยมเซียม ป่านาหินลาดใต้ นครราชสีมา 94190,Thailand,2024-07-13T00:00:00+07:00,True,True,True,True,False,iOS,Bronze
CUST-A000072,c5049bab-b14c-48db-91c8-a77406da2ca2,Pattapon,Suraprachit,2019-06-29T00:00:00+07:00,Female,pattapon.suraprachit@gmailx.com,+6614740857,735/9 ถนนทองอยู่ พระนครศรีอยุธยา 57840,Thailand,2023-12-04T00:00:00+07:00,False,False,True,False,False,iOS,Bronze
CUST-A000073,31dfbdad-041f-4a6e-a223-41ed9d6fb43f,Pattatomporn,Prachayaroch,1989-07-19T00:00:00+07:00,Male,pattatomporn.prachayaroch@hotmailx.com,+6616648932,07 ถ.ศรีเผด็จ ศรีวิไล ปทุมธานี 94700,Thailand,2023-10-03T00:00:00+07:00,True,True,True,True,True,iOS,Bronze
CUST-A000074,b5c9799b-c830-4547-9430-3d578a94c6b9,Chanya,Intaum,1989-06-05T00:00:00+07:00,Female,chanya.intaum@gmailx.com,+6617028587,82/68 ถ.ดาบเงิน อำเภอบำเหน็จณรงค์ ร้อยเอ็ด 55960,Thailand,2024-03-14T00:00:00+07:00,False,True,True,True,False,iOS,Bronze
CUST-A000075,98105915-68e2-4e08-acbd-a12cf6cf32ab,Pattapon,Sittisaowapak,1984-02-18T00:00:00+07:00,Female,pattapon.sittisaowapak@gmailx.com,+6617053062,81 หมู่ 4 ถ.บุตดา ตำบลบ้านเขากอบ จังหวัดพระนครศรีอยุธยา 12490,Thailand,2024-01-15T00:00:00+07:00,True,False,True,True,False,Web,Bronze
