customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,country,account_creation_date,employment_status,annual_income,credit_score,suitability_test_score,marital_status,marketing_consent_email,marketing_consent_sms,marketing_consent_line_oa,marketing_consent_web_mobile_push,data_processing_consent,signup_source,product_holding_flag_deposit,product_holding_flag_payment,product_holding_flag_investment,product_holding_flag_insurance,asset_under_management_deposit,asset_under_management_payment,asset_under_management_investment,asset_under_management_insurance,total_asset_under_management,customer_tier
CUST-A000011,Yada,Bunlerngsri,1977-09-24T00:00:00+07:00,Other,yada.bunlerngsri@example.com,+6613176068,63/82 ถนนทีฆะ ต.เว่อ อ.หนองบัวระเหว ขอนแก่น 70440,Thailand,2023-09-04T00:00:00+07:00,Employed,6739393,574,3,Single,False,True,True,True,False,Web,True,True,True,True,1,75156,161,3856,79174,Bronze
CUST-A000012,Pak,Polpo,1974-12-25T00:00:00+07:00,Female,pak.polpo@example.com,+6618176361,54 หมู่บ้านอันธิกา บ่อไร่ นนทบุรี 86980,Thailand,2024-05-31T00:00:00+07:00,Employed,7319529,820,6,Divorced,True,False,True,True,True,Android,True,True,False,True,3539,2690,14457,78674,99360,Bronze
CUST-A000013,Noppakao,Srisoontorn,1980-05-17T00:00:00+07:00,Other,noppakao.srisoontorn@example.com,+6618844927,22/72 ถ.ดำริห์ชอบ หนองแสง คอนสาร เชียงใหม่ 13910,Thailand,2024-03-21T00:00:00+07:00,Retired,3794649,653,1,Married,True,True,False,False,True,Web,True,True,False,False,16416,23032,36001,16950,92399,Bronze
CUST-A000014,Kamolchanok,Krittayanukoon,1975-02-23T00:00:00+07:00,Female,kamolchanok.krittayanukoon@example.com,+6619364758,4/0 ถนนธรรมเมธา ต.ลำภูรา จ.นครราชสีมา 38620,Thailand,2023-08-29T00:00:00+07:00,Unemployed,5822895,745,5,Single,False,True,True,True,True,Web,True,True,True,True,33401,6609,40094,2684,82788,Bronze
CUST-A000015,Supasita,Matinawin,1956-05-17T00:00:00+07:00,Male,supasita.matinawin@example.com,+6612544806,39/5 ถ.ไทไชโย ต.พะโต๊ะ อ.เกษตรสมบูรณ์ จ.ปราจีนบุรี 45790,Thailand,2023-07-12T00:00:00+07:00,Unemployed,8286615,731,2,Widowed,True,True,False,True,False,Android,True,True,True,False,206273,15391,16214,7299,245177,Bronze
CUST-A000016,Pachongruk,Siripaiboo,2014-06-30T00:00:00+07:00,Female,pachongruk.siripaiboo@example.com,+6619123982,2/0 ถนนชำนาญวาด อ.นาแก จ.นครสวรรค์ 98100,Thailand,2023-10-29T00:00:00+07:00,Retired,5941429,391,2,Widowed,False,True,True,False,True,Android,True,True,False,True,274298,9173,17190,41600,342261,Bronze
CUST-A000017,Suvakit,Prayoonhong,1969-03-03T00:00:00+07:00,Male,suvakit.prayoonhong@example.com,+6613165963,61/16 หมู่บ้านวิชชากร ศรีวิไล พิษณุโลก 89450,Thailand,2024-06-20T00:00:00+07:00,Employed,7876515,597,4,Single,True,False,True,False,False,Android,True,True,True,True,4445,1972,6265,53954,66636,Bronze
CUST-A000018,Kamolchanok,Boonpungbaramee,2020-02-15T00:00:00+07:00,Other,kamolchanok.boonpungbaramee@example.com,+6611987017,39 หมู่ 71 ถ.ตรีเภรินทร์ หนองอิเฒ่าใหญ่ เทิง ตราด 47620,Thailand,2023-08-20T00:00:00+07:00,Student,2605260,566,8,Widowed,True,True,False,True,False,iOS,True,True,True,True,22781,8794,5981,106769,144325,Bronze
CUST-A000019,Suwijuk,Anekvorakul,1936-11-14T00:00:00+07:00,Female,suwijuk.anekvorakul@example.com,+6613768967,528/8 ถนนทับทิมไทย อ.พระนคร ชัยภูมิ 37550,Thailand,2024-07-05T00:00:00+07:00,Student,7257578,457,4,Married,True,False,True,True,False,iOS,True,True,True,True,10056,58379,386424,550,455409,Bronze
CUST-A000020,Peem,Charoensuksopol,1982-05-29T00:00:00+07:00,Male,peem.charoensuksopol@example.com,+6614774728,33/55 ถนนถุงเงิน อ.ศรีวิไล จ.สมุทรปราการ 47420,Thailand,2023-09-07T00:00:00+07:00,Employed,2426752,787,5,Widowed,False,False,True,True,True,iOS,True,True,False,False,58546,1170,32326,5576,97618,Bronze
CUST-A000021,Yanisa,Sujjaboriboon,1934-08-30T00:00:00+07:00,Female,yanisa.sujjaboriboon@example.com,+6611312486,9/9 ถนนเขียวอ่อน ต.บางแคใหญ่ อ.ภาษีเจริญ สตูล 65400,Thailand,2023-09-24T00:00:00+07:00,Unemployed,8840672,387,1,Widowed,True,True,False,True,True,Android,True,False,False,True,1485,36157,6107,237958,281707,Bronze
CUST-A000022,Chaifah,Trikasemmart,1917-10-24T00:00:00+06:42,Other,chaifah.trikasemmart@example.com,+6619693370,479/0 ถ.ตระกูลบุญ ปากคม เมือง นครสวรรค์ 65680,Thailand,2024-01-31T00:00:00+07:00,Retired,4278670,605,6,Widowed,True,True,False,False,True,iOS,False,True,False,True,1391,174158,12173,14155,201877,Bronze
CUST-A000023,Ratchanon,Habpanom,1912-06-22T00:00:00+06:42,Female,ratchanon.habpanom@example.com,+6617886928,9/6 ถ.ตั้งกุลงาม ห้วยท่างิ้ว นครราชสีมา 24930,Thailand,2024-02-14T00:00:00+07:00,Student,1143903,450,3,Single,True,False,True,False,False,Web,True,True,True,True,50566,193033,90218,90595,424412,Bronze
CUST-A000024,Nutwadee,Methavorakul,2016-06-15T00:00:00+07:00,Male,nutwadee.methavorakul@example.com,+6616720757,55 หมู่ 70 ซ.จ้อยนุแสง อ.คอนสวรรค์ ชุมพร 35570,Thailand,2023-10-01T00:00:00+07:00,Retired,8989131,616,5,Married,False,False,False,True,False,Android,True,True,False,False,6462,14945,4939,14936,41282,Bronze
CUST-A000025,Tunradee,Tungkasethakul,1943-07-06T00:00:00+07:00,Other,tunradee.tungkasethakul@example.com,+6612548382,666 ถ.พานเกล้า อุตรดิตถ์ 75030,Thailand,2024-05-29T00:00:00+07:00,Retired,8488017,503,5,Single,False,True,False,False,False,iOS,True,True,True,True,21084,111748,48482,13583,194897,Bronze
CUST-A000026,Chanikan,Losatapornpipit,1955-01-05T00:00:00+07:00,Female,chanikan.losatapornpipit@example.com,+6618119697,04 หมู่ 6 ถนนร่มธิติรัตน์ อำเภอห้วยขวาง แม่ฮ่องสอน 30180,Thailand,2023-12-04T00:00:00+07:00,Student,2378084,383,4,Divorced,True,True,False,True,False,Android,True,True,True,True,44618,58751,54896,69287,227552,Bronze
CUST-A000027,Sorawut,Kamalanon,1981-02-21T00:00:00+07:00,Female,sorawut.kamalanon@example.com,+6613544080,3/9 ซอยไตรบรรพ บ่อไร่ ชัยภูมิ 32780,Thailand,2023-08-03T00:00:00+07:00,Student,777059,650,4,Divorced,True,True,False,False,False,iOS,True,True,True,True,792,2140,1459,3182,7573,Bronze
CUST-A000028,Wassaya,Pikatsingkorn,1966-05-20T00:00:00+07:00,Female,wassaya.pikatsingkorn@example.com,+6614722046,7/7 ถ.ศรทอง อำเภอภักดีชุมพล จังหวัดมหาสารคาม 88900,Thailand,2024-01-20T00:00:00+07:00,Employed,3797603,592,6,Divorced,True,True,True,False,True,iOS,True,True,True,False,168227,106393,110611,71073,456304,Bronze
CUST-A000029,Prames,Habpanom,1962-03-30T00:00:00+07:00,Female,prames.habpanom@example.com,+6618687789,521/0 ถนนบุญศล ต.ท่าเรือ อ.ห้วยขวาง กรุงเทพ 52240,Thailand,2023-07-25T00:00:00+07:00,Student,6890385,658,8,Widowed,True,True,False,False,True,Web,True,False,True,False,161037,182873,17709,10073,371692,Bronze
CUST-A000030,Puntira,Lertsattayanusak,1920-12-04T00:00:00+07:00,Female,puntira.lertsattayanusak@example.com,+6617626064,72 หมู่ 0 ถนนนับเนื่องนอ อ.เทิง เลย 47150,Thailand,2024-01-27T00:00:00+07:00,Unemployed,7131122,512,8,Married,True,True,False,False,True,Web,True,True,True,True,65249,29853,128120,41802,265024,Bronze
CUST-A000031,Darin,Polauaypon,2003-08-15T00:00:00+07:00,Other,darin.polauaypon@example.com,+6614177516,16 หมู่ 26 ถนนฉัพพรรณธนกูร ต.บ้านหนองตอกแป้นใหม่ อ.วังทองหลาง ฉะเชิงเทรา 50700,Thailand,2024-06-25T00:00:00+07:00,Employed,4324869,771,7,Divorced,False,False,True,True,True,Web,True,True,True,True,102211,43017,68680,7479,221387,Bronze
CUST-A000032,Chawin,Chowitunkit,1970-09-18T00:00:00+07:00,Male,chawin.chowitunkit@example.com,+6612660363,26 หมู่ 34 ถ.ติณรัตน์ โนนศิลา จ.สุพรรณบุรี 72580,Thailand,2023-09-26T00:00:00+07:00,Student,5036304,530,2,Widowed,True,False,False,True,True,Web,False,True,False,True,23830,169702,100723,7722,301977,Bronze
CUST-A000033,Phubes,Pongpanitch,1996-09-12T00:00:00+07:00,Male,phubes.pongpanitch@example.com,+6617749717,358/12 หมู่บ้านกันตวรรณ สะพานสูง นครนายก 78240,Thailand,2023-08-27T00:00:00+07:00,Employed,5629567,423,6,Single,False,False,False,False,True,Android,True,False,False,True,1547,791,8467,108072,118877,Bronze
CUST-A000034,Chayapat,Pasuk,1917-09-19T00:00:00+06:42,Other,chayapat.pasuk@example.com,+6615087779,0/2 ถนนนับเนื่องนอ ตำบลนาเชือกเหนือ อำเภอพรเจริญ อุบลราชธานี 88140,Thailand,2024-05-26T00:00:00+07:00,Unemployed,3393594,302,3,Single,False,True,True,True,False,Web,True,True,True,True,21475,1427,1449,254518,278869,Bronze
CUST-A000035,Nutcha,Kumsoontorn,1959-04-30T00:00:00+07:00,Other,nutcha.kumsoontorn@example.com,+6618363795,366/5 ถนนวะคีมัน อำเภอปากคาด เพชรบูรณ์ 30490,Thailand,2023-08-18T00:00:00+07:00,Retired,8417955,721,6,Widowed,True,False,False,True,True,iOS,True,True,False,True,250811,671,27074,44730,323286,Bronze
CUST-A000036,Phenphitcha,Sittisaowapak,2013-10-12T00:00:00+07:00,Female,phenphitcha.sittisaowapak@example.com,+6612218700,896/5 หมู่บ้านโชคภาดล ศรีวิไล นนทบุรี 47230,Thailand,2023-09-06T00:00:00+07:00,Unemployed,8739280,321,3,Single,False,True,False,False,False,Android,True,False,True,True,237561,17028,26235,139396,420220,Bronze
CUST-A000037,Wassaya,Phusilarungrueng,1913-10-20T00:00:00+06:42,Male,wassaya.phusilarungrueng@example.com,+6612367003,715/8 ถนนนามขำ ปากคาด นครพนม 27230,Thailand,2024-01-13T00:00:00+07:00,Unemployed,5999116,510,7,Widowed,True,True,True,False,True,Web,False,True,True,True,278091,7723,29795,1868,317477,Bronze
CUST-A000038,Phubes,Kitprapa,2023-10-26T00:00:00+07:00,Female,phubes.kitprapa@example.com,+6612011077,6 ถ.อุ่นอก สุขเดือนห้า หนองบัวโคก อุบลราชธานี 56040,Thailand,2024-03-13T00:00:00+07:00,Unemployed,4170503,422,5,Married,False,False,True,False,False,iOS,False,True,True,True,10709,63461,4537,17677,96384,Bronze
CUST-A000039,Wassaya,Norramon,1960-11-20T00:00:00+07:00,Male,wassaya.norramon@example.com,+6612299114,71/72 ต.บางโรง อ.บำเหน็จณรงค์ หนองคาย 82350,Thailand,2024-01-24T00:00:00+07:00,Employed,8161081,763,2,Single,True,True,False,True,False,Android,False,True,True,True,49257,84621,71566,130353,335797,Bronze
CUST-A000040,Yada,Todsapornpitakul,1909-10-26T00:00:00+06:42,Female,yada.todsapornpitakul@example.com,+6613043512,94/93 ถนนทีฆะ ต.ลำภูรา จ.กระบี่ 84750,Thailand,2023-12-20T00:00:00+07:00,Student,1987558,652,4,Divorced,False,False,True,True,True,iOS,True,False,False,True,7210,18772,261086,209027,496095,Bronze
CUST-A000041,Parin,Polpo,1949-01-03T00:00:00+07:00,Female,parin.polpo@example.com,+6613097101,369/07 ถ.สงประเสริฐ ตำบลบางเล่าเล็ก อำเภอแก้งคร้อ บึงกาฬ 71560,Thailand,2023-07-29T00:00:00+07:00,Unemployed,3381844,479,7,Divorced,True,True,False,False,False,Android,True,False,True,False,7921,52046,156547,235788,452302,Bronze
CUST-A000042,Noppakao,Sooksawang,1973-11-22T00:00:00+07:00,Other,noppakao.sooksawang@example.com,+6611961976,092/67 ถนนทวนไชย์ บางกุ้ง จ.นราธิวาส 91880,Thailand,2023-10-31T00:00:00+07:00,Student,8476349,356,8,Widowed,True,False,False,False,True,iOS,True,True,True,False,2357,15021,80824,3742,101944,Bronze
CUST-A000043,Jitrin,Turongkinanon,1988-10-16T00:00:00+07:00,Male,jitrin.turongkinanon@example.com,+6617221437,28 หมู่ 94 ถนนนามขำ อำเภอวังยาง จังหวัดเพชรบุรี 50170,Thailand,2024-03-08T00:00:00+07:00,Employed,6194618,383,5,Single,False,True,False,False,True,iOS,False,True,True,True,23827,160587,12950,10732,208096,Bronze
CUST-A000044,Phubes,Choeychuen,1998-03-25T00:00:00+07:00,Other,phubes.choeychuen@example.com,+6611929167,70 หมู่ 42 ถ.นกทอง ต.บางแค อ.นาทม จ.แพร่ 33450,Thailand,2024-03-09T00:00:00+07:00,Employed,9308471,780,6,Divorced,False,True,False,False,True,Web,True,True,True,True,150088,36383,63111,171055,420637,Bronze
CUST-A000045,Sorawut,Srisoontorn,1926-08-18T00:00:00+07:00,Other,sorawut.srisoontorn@example.com,+6611094393,21 ถนนนาคะนคร ต.ปากแจ่ม อ.พระนคร จ.อ่างทอง 44670,Thailand,2024-01-04T00:00:00+07:00,Student,3837700,538,3,Widowed,False,False,False,False,True,iOS,True,True,True,True,33,191769,33,6738,198573,Bronze
CUST-A000046,Supasit,Sittisaowapak,1918-06-15T00:00:00+06:42,Male,supasit.sittisaowapak@example.com,+6618470198,9 ถ.ถมปัด ต.หนองปลาหมอใหม่ อ.หนอกจอก ตาก,Thailand,2024-02-04T00:00:00+07:00,Retired,8260132,736,5,Married,True,False,False,True,False,Web,True,True,True,True,132098,116038,149695,15638,413469,Bronze
CUST-A000047,Jinjuta,Suraprasert,1945-12-30T00:00:00+07:00,Other,jinjuta.suraprasert@example.com,+6615097574,94 หมู่ 1 ถนนบุตราช ต.ห้วยยอด อ.หนองบัวแดง จ.นครปฐม,Thailand,2024-01-31T00:00:00+07:00,Student,1905468,777,8,Single,False,False,True,True,False,iOS,True,False,False,True,82,700,73,2817,3672,Bronze
CUST-A000048,Kulnun,Wasunun,1946-05-29T00:00:00+07:00,Female,kulnun.wasunun@example.com,+6616818697,642 ถ.ทองสุกเลิศ ต.ปากพลี อ.เวียงชัย พังงา 99340,Thailand,2024-03-16T00:00:00+07:00,Student,7787580,660,2,Divorced,True,True,False,True,True,iOS,True,False,True,False,26388,74543,29069,36923,166923,Bronze
CUST-A000049,Chayanin,Vinyuvanichkul,1998-12-08T00:00:00+07:00,Male,chayanin.vinyuvanichkul@example.com,+6613514139,12 หมู่ 74 ถนนนกทอง สุราษฎร์ธานี 31470,Thailand,2024-05-16T00:00:00+07:00,Unemployed,6098542,828,8,Single,True,True,True,True,True,Android,True,True,True,True,84313,196757,9496,10369,300935,Bronze
CUST-A000050,Thanatcha,Anekvorakul,2019-12-06T00:00:00+07:00,Female,thanatcha.anekvorakul@example.com,+6618254726,179/8 ถ.พานเกล้า บ่อหัวงัวเหนือ อุบลราชธานี 76440,Thailand,2024-06-03T00:00:00+07:00,Retired,7842384,838,1,Divorced,False,False,False,True,True,Web,True,True,False,True,10791,35982,300053,11105,357931,Bronze
CUST-A000051,Supasit,Siripaiboo,2015-11-21T00:00:00+07:00,Male,supasit.siripaiboo@example.com,+6619230890,23/06 ถนนดาวอร่าม ราชบุรี 19030,Thailand,2023-10-06T00:00:00+07:00,Retired,7236886,664,5,Divorced,True,True,False,True,True,Android,True,False,True,True,11516,10532,229165,27484,278697,Bronze
CUST-A000052,Teetat,Pasuk,1915-08-03T00:00:00+06:42,Other,teetat.pasuk@example.com,+6613875655,406 ต.คลองเขื่อน อ.วังทองหลาง กรุงเทพมหานคร 34160,Thailand,2023-07-12T00:00:00+07:00,Student,901872,648,2,Widowed,True,False,True,False,False,Android,True,False,False,True,11827,172467,100663,13425,298382,Bronze
CUST-A000053,Phenphitcha,Intaum,2006-11-18T00:00:00+07:00,Female,phenphitcha.intaum@example.com,+6614330676,900/81 ถ.นวลฉวี ตำบลพะโต๊ะ อำเภอภูเขียว กทม. 23110,Thailand,2023-08-05T00:00:00+07:00,Retired,7723621,567,5,Divorced,False,True,False,False,True,Web,True,True,True,False,32050,8697,151017,153967,345731,Bronze
CUST-A000054,Jitrin,Chaisatit,1999-03-06T00:00:00+07:00,Female,jitrin.chaisatit@example.com,+6615154306,39 หมู่ 0 ถนนนิระหานี คลองเขื่อนเหนือ พรเจริญ ลพบุรี 42800,Thailand,2023-12-24T00:00:00+07:00,Unemployed,1340598,485,1,Single,False,True,False,True,False,Android,True,True,False,False,102791,1943,8143,45769,158646,Bronze
CUST-A000055,Supasita,Intaum,1995-09-14T00:00:00+07:00,Male,supasita.intaum@example.com,+6619649967,99/7 ถนนเดชวา บึงดอนสมบูรณ์ พิจิตร 77340,Thailand,2024-03-21T00:00:00+07:00,Student,1007859,573,6,Divorced,False,False,True,False,False,iOS,True,True,False,True,74503,91478,53710,105746,325437,Bronze
CUST-A000056,Nutwadee,Sukhenai,2015-02-19T00:00:00+07:00,Female,nutwadee.sukhenai@example.com,+6615649076,121/38 ถ.ร่มธิติรัตน์ อ.เกษตรสมบูรณ์ ฉะเชิงเทรา 74080,Thailand,2023-09-21T00:00:00+07:00,Retired,2716926,463,5,Divorced,True,True,True,True,True,Web,True,True,False,True,96578,79539,60143,123976,360236,Bronze
CUST-A000057,Pakjira,Pichpandecha,1925-07-14T00:00:00+07:00,Female,pakjira.pichpandecha@example.com,+6611785666,97/5 ถ.คำลือ บึงบางแคใหญ่ ปลาปาก สตูล 56240,Thailand,2023-09-20T00:00:00+07:00,Employed,2805624,335,7,Divorced,False,True,False,False,False,Web,True,True,False,False,6987,320,58,83778,91143,Bronze
CUST-A000058,Prima,Wannapaitoonsri,1968-03-16T00:00:00+07:00,Female,prima.wannapaitoonsri@example.com,+6611603067,8/3 ถ.เขียวอ่อน อ.แม่ลาว สิงห์บุรี 40190,Thailand,2024-06-01T00:00:00+07:00,Student,4758813,465,6,Widowed,False,False,True,True,True,Web,False,True,True,True,26378,171961,71514,12661,282514,Bronze
CUST-A000059,Ratchanon,Pichpandecha,2020-12-29T00:00:00+07:00,Male,ratchanon.pichpandecha@example.com,+6611178344,97/82 ถนนศรีธนะเวทย์ ตำบลปากแจ่ม อำเภอนาแก นครพนม 95320,Thailand,2024-07-04T00:00:00+07:00,Employed,5796862,399,4,Single,True,False,True,False,True,Android,True,True,True,True,114198,190306,7072,69375,380951,Bronze
CUST-A000060,Chanya,Wasunun,1947-12-08T00:00:00+07:00,Male,chanya.wasunun@example.com,+6618724530,7 ถนนอุลหัสสา โนนแดง โพนสวรรค์ อำนาจเจริญ 32890,Thailand,2024-01-21T00:00:00+07:00,Employed,8802776,646,6,Widowed,True,False,True,True,False,iOS,True,True,True,True,210287,41415,103724,4604,360030,Bronze
CUST-A000061,Chaifah,Suraprasert,1998-09-04T00:00:00+07:00,Male,chaifah.suraprasert@example.com,+6617248519,90/7 ถ.นิยมเซียม ตำบลหนองปลาหมอเหนือ อำเภอเกษตรสมบูรณ์ สระแก้ว 84090,Thailand,2023-07-29T00:00:00+07:00,Student,3446511,438,2,Single,False,True,False,True,False,Android,True,True,True,True,51758,104586,120303,67975,344622,Bronze
CUST-A000062,Yanisa,Intaum,1994-12-15T00:00:00+07:00,Male,yanisa.intaum@example.com,+6612526035,08/7 ถ.นิระหานี ต.เกาะโพธิ์เหนือ อ.เนินสง่า จ.นครศรีธรรมราช 15320,Thailand,2024-03-27T00:00:00+07:00,Retired,975402,422,2,Single,True,False,True,True,False,iOS,True,True,True,True,201425,18990,46694,179509,446618,Bronze
CUST-A000063,Kodchaporn,Wimolnot,2010-09-30T00:00:00+07:00,Female,kodchaporn.wimolnot@example.com,+6616102135,030/16 ถ.หิรัญสาลี ตำบลโคกกรวดใต้ อำเภอวังยาง ตราด 94430,Thailand,2024-04-17T00:00:00+07:00,Retired,5326887,610,6,Married,True,True,True,True,False,Android,True,True,True,True,27562,133569,145805,123969,430905,Bronze
CUST-A000064,Parin,Titipatrayunyong,1933-11-28T00:00:00+07:00,Other,parin.titipatrayunyong@example.com,+6618772031,649/53 ถนนธรรมเมธา ท่างิ้ว บึงกุ่ม บุรีรัมย์ 37900,Thailand,2024-04-30T00:00:00+07:00,Unemployed,3515591,303,3,Married,True,True,True,False,True,Web,True,True,True,True,423302,14768,32553,26444,497067,Bronze
CUST-A000065,Aunyaporn,Kongchayasukawut,1947-12-16T00:00:00+07:00,Male,aunyaporn.kongchayasukawut@example.com,+6614415167,63/4 ถ.แหยมศิริ เกษตรสมบูรณ์ อำนาจเจริญ 65310,Thailand,2023-10-17T00:00:00+07:00,Retired,5322788,336,7,Divorced,False,True,True,False,True,Web,True,True,True,True,6612,233468,8002,81453,329535,Bronze
CUST-A000066,Yada,Sukhenai,1916-06-28T00:00:00+06:42,Female,yada.sukhenai@example.com,+6612955827,699 ถ.ทีฆะ อำเภอบ่อไร่ บึงกาฬ 45540,Thailand,2024-02-06T00:00:00+07:00,Unemployed,1254964,836,7,Divorced,True,True,True,False,True,iOS,False,True,True,True,134493,158014,122808,50020,465335,Bronze
CUST-A000067,Pattatomporn,Matinawin,1991-03-05T00:00:00+07:00,Female,pattatomporn.matinawin@example.com,+6616069305,34/3 ถนนตระกูลไม้เรียง ทุ่งต่อ พัทลุง 55280,Thailand,2024-04-07T00:00:00+07:00,Employed,8212528,689,8,Widowed,False,False,False,False,True,Web,True,True,True,True,5368,1952,6972,5362,19654,Bronze
CUST-A000068,Nattawun,Krittayanukoon,1949-12-30T00:00:00+07:00,Male,nattawun.krittayanukoon@example.com,+6614734793,017 ถนนนิละทัต โนนศิลาใหญ่ พะเยา 41940,Thailand,2023-11-21T00:00:00+07:00,Employed,7604461,403,5,Married,False,True,False,True,False,iOS,True,True,True,True,11728,85559,239360,92125,428772,Bronze
CUST-A000069,Yanisa,Habpanom,1942-06-18T00:00:00+07:00,Female,yanisa.habpanom@example.com,+6619814198,5/0 ถ.ศรีเผด็จ อำเภอวังทองหลาง เลย 19720,Thailand,2024-01-01T00:00:00+07:00,Employed,3719851,409,1,Married,False,False,True,True,True,iOS,True,True,True,True,142202,85558,13689,108186,349635,Bronze
CUST-A000070,Phubes,Pothanun,1963-08-27T00:00:00+07:00,Other,phubes.pothanun@example.com,+6618631483,463/1 ถ.ฉิมพาลี บางแคเหนือ เวียงชัย กระบี่ 82600,Thailand,2024-05-20T00:00:00+07:00,Student,7729575,737,6,Married,True,True,True,False,False,iOS,False,False,True,True,38367,500,11486,1635,51988,Bronze
CUST-A000071,Pitipat,Suraprachit,1939-12-28T00:00:00+07:00,Other,pitipat.suraprachit@example.com,+6618046722,851 ถ.นุชแนวนุ่ม อ.แก้งคร้อ ลำปาง 23050,Thailand,2023-10-05T00:00:00+07:00,Retired,2613619,649,8,Married,True,True,False,False,False,Android,True,True,True,True,13173,188468,68886,3205,273732,Bronze
CUST-A000072,Todsawun,Pasuk,1938-10-29T00:00:00+07:00,Female,todsawun.pasuk@example.com,+6615964039,49/5 ถนนตั้งรบ ยโสธร 79310,Thailand,2024-02-01T00:00:00+07:00,Retired,5803762,573,3,Widowed,False,False,True,True,False,iOS,True,True,True,False,12810,4646,29378,12855,59689,Bronze
